[SUM]  0.0- 1.0 sec  2.84 KBytes  23.2 Kbits/sec
[SUM]  1.0- 2.0 sec  52.5 KBytes   430 Kbits/sec
[SUM]  2.0- 3.0 sec  31.2 KBytes   256 Kbits/sec
[SUM]  3.0- 4.0 sec  96.4 KBytes   790 Kbits/sec
[SUM]  4.0- 5.0 sec  17.0 KBytes   139 Kbits/sec
[SUM]  5.0- 6.0 sec  48.2 KBytes   395 Kbits/sec
[SUM]  6.0- 7.0 sec  61.0 KBytes   499 Kbits/sec
[SUM]  7.0- 8.0 sec  48.2 KBytes   395 Kbits/sec
[SUM]  8.0- 9.0 sec   149 KBytes  1.22 Mbits/sec
[SUM]  9.0-10.0 sec  10.1 KBytes  82.8 Kbits/sec
[SUM] 10.0-11.0 sec  93.7 KBytes   767 Kbits/sec
[SUM] 11.0-12.0 sec   103 KBytes   843 Kbits/sec
[SUM] 12.0-13.0 sec  10.1 KBytes  82.9 Kbits/sec
[SUM] 13.0-14.0 sec   135 KBytes  1.10 Mbits/sec
[SUM] 14.0-15.0 sec  83.8 KBytes   686 Kbits/sec
[SUM] 15.0-16.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 16.0-17.0 sec  0.00 Bytes  0.00 bits/sec
[SUM] 17.0-18.0 sec  65.2 KBytes   534 Kbits/sec
[SUM] 18.0-19.0 sec  93.1 KBytes   762 Kbits/sec
[SUM] 19.0-20.0 sec  13.4 KBytes   110 Kbits/sec
[SUM] 20.0-21.0 sec   189 KBytes  1.55 Mbits/sec
[SUM] 21.0-22.0 sec  48.8 KBytes   400 Kbits/sec
[SUM] 22.0-23.0 sec  80.2 KBytes   657 Kbits/sec
[SUM] 23.0-24.0 sec  20.6 KBytes   168 Kbits/sec
[SUM] 24.0-25.0 sec  91.6 KBytes   750 Kbits/sec
[SUM] 25.0-26.0 sec  25.5 KBytes   209 Kbits/sec
[SUM] 26.0-27.0 sec  52.5 KBytes   430 Kbits/sec
[SUM] 27.0-28.0 sec  65.2 KBytes   534 Kbits/sec
[SUM] 28.0-29.0 sec  22.7 KBytes   186 Kbits/sec
[SUM] 29.0-30.0 sec  75.2 KBytes   616 Kbits/sec
[SUM] 30.0-31.0 sec   109 KBytes   894 Kbits/sec
[SUM] 31.0-32.0 sec   106 KBytes   865 Kbits/sec
[SUM] 32.0-33.0 sec  83.1 KBytes   681 Kbits/sec
[SUM] 33.0-34.0 sec  12.8 KBytes   105 Kbits/sec
