#Time 	Throughput	Server 1	Server 2
time throughput server1 server2
1	19.11	9.53	9.58
2	19	9.52	9.48
3	19.1	9.55	9.55
4	19.04	9.52	9.52
5	19.04	9.53	9.51
6	19.07	9.52	9.55
7	18.96	9.48	9.48
8	19.02	9.5	9.52
9	19.07	9.51	9.56
10	19.05	9.55	9.5
11	18.96	9.5	9.46
12	18.97	9.48	9.49
13	18.93	9.48	9.45
14	18.9	9.46	9.44
15	18.98	9.48	9.5
16	18.93	9.45	9.48
17	18.93	9.48	9.45
18	19	9.51	9.49
19	18.94	9.46	9.48
20	18.96	9.46	9.5
21	13.67	6.78	6.89
22	0	0	0
23	0	0	0
24	27.24	9.84	17.4
25	5.33	0	5.33
26	14.1	14.1	0
27	35.7	17.2	18.5
28	0	0	0
29	53.2	26.3	26.9
30	41.2	21	20.2
31	18.96	9.45	9.51
32	18.99	9.49	9.5
33	18.93	9.45	9.48
34	18.91	9.48	9.43
35	18.79	9.38	9.41
36	18.82	9.41	9.41
37	18.93	9.45	9.48
38	19.12	9.56	9.56
39	19.14	9.57	9.57
40	19.09	9.57	9.52
41	19	9.48	9.52
42	19.16	9.58	9.58
43	19.1	9.55	9.55
44	19.13	9.57	9.56
45	19.13	9.56	9.57
46	19.14	9.57	9.57
47	19.09	9.53	9.56
48	19.12	9.55	9.57
49	19.09	9.52	9.57
50	18.96	9.48	9.48
51	18.97	9.55	9.42
52	18.64	9.27	9.37
53	5.5	5.5	0
54	0	0	0
55	11.169	0.869	10.3
56	30.2	15.7	14.5
57	19.07	10.5	8.57
58	9.89	0	9.89
59	27	14.3	12.7
60	50.4	29.6	20.8
61	19.17	9.58	9.59
62	19.11	9.56	9.55
63	19.15	9.57	9.58
64	19.14	9.57	9.57
65	19.11	9.56	9.55
66	19.15	9.57	9.58
67	19.14	9.57	9.57
68	19.11	9.56	9.55
69	19.15	9.57	9.58
70	19.12	9.57	9.55
71	19.12	9.55	9.57
72	19.14	9.58	9.56
73	19.14	9.57	9.57
74	19.12	9.56	9.56
75	19.14	9.57	9.57
76	19.14	9.57	9.57
77	19.14	9.56	9.58
78	19.12	9.57	9.55
79	19.12	9.55	9.57
80	19.14	9.58	9.56
81	19.14	9.57	9.57
82	19.11	9.53	9.58
83	19.14	9.59	9.55
84	10.18	8.16	2.02
85	0	0	0
86	6.65	0	6.65
87	29.6	13.3	16.3
88	18.47	13.8	4.67
89	0.475	0.475	0
90	26.3	13	13.3
91	33.6	0	33.6
92	46.87	37.3	9.57
93	19.15	9.57	9.58
94	19.15	9.58	9.57
95	19.11	9.55	9.56
96	19.14	9.57	9.57
97	19.12	9.56	9.56
98	19.07	9.5	9.57
99	19.09	9.52	9.57
100	19.06	9.5	9.56
