#Time 	Bandwidth	Jitter
time    bw     jitter
1	1.07	15.564
2	1.08	15.583
3	0.988	15.655
4	1.08	15.687
5	1.02	13.201
6	1.05	16.061
7	1.08	15.943
8	1	14.838
9	1.07	15.678
10	1.05	13.814
11	1.05	15.612
12	1.08	12.759
13	1.01	15.11
14	1.07	15.693
15	1	15.186
16	1.08	15.891
17	1.06	13.404
18	1.02	15.978
19	1.08	15.88
20	1.01	15.369
21	1.07	16.002
22	1.06	13.66
23	1.02	14.942
24	1.08	15.61
25	1.05	15.911
26	1	15.867
27	1.08	16.047
28	1.03	14.573
29	1.05	16.013
30	1.09	15.815
31	0.988	15.417
32	1.05	15.072
33	1.09	15.485
34	1.01	15.03
35	1.07	15.776
36	1.05	13.029
37	1.03	14.823
38	1.09	15.715
39	0.988	15.576
40	1.09	15.889
41	1.02	14.147
42	1.06	14.878
43	1.06	13.672
44	1.02	15.968
45	1.08	15.405
46	1	14.908
47	1.08	15.77
48	1.06	13.557
49	1.03	15.621
50	1.09	15.356
51	0.988	15.734
52	1.09	15.421
53	1.01	13.373
54	1.06	14.007
55	1.06	15.307
56	1.07	15.881
57	1.01	15.367
58	1.07	16.007
59	1.01	14.562
60	1.07	15.117
61	1.07	12.794
62	1.01	15.122
63	1.08	15.733
64	1	15.488
65	1.09	15.738
66	1.05	13.618
67	1.03	15.718
68	1.08	15.7
69	1	15.693
70	1.09	15.739
71	1	15.346
72	1.08	15.718
73	1.05	13.62
74	1.03	14.072
75	1.03	15.24
76	1.11	15.302
77	0.988	15.743
78	1.08	15.681
79	1.05	15.355
80	1.03	13.831
81	1.05	15.96
82	1.08	15.989
83	1	15.394
84	1.09	15.11
85	0.988	15.955
86	1.09	15.535
87	1.03	14.109
88	1.05	15.18
89	1.08	14.866
90	1.01	14.084
91	1.08	15.703
92	1.01	15.303
93	1.03	15.134
94	1.08	15.975
95	1.06	13.448
96	1.02	15.745
97	1.06	15.257
98	1.07	15.906
99	1	15.983
100	1.04	15.822
