#Time (sec)	Throughput	WAN (TCP)	LTE (UDP)	Throughput	WAN (TCP)	LTE (UDP)
time    std_throughput  std_wan     std_lte 100_throughput  100_wan 100_lte
1	11.4739	8.25444	3.21946	11.9697	11.134116	0.835584
2	14.5719	10.41036	4.16154	14.648	13.759168	0.888832
3	15.6869	11.36425	4.32265	15.7719	14.76155	1.01035
4	16.3324	11.75717	4.57523	16.212	15.220768	0.991232
5	16.4769	11.84514	4.63176	16.3743	15.35522	1.01908
6	16.7338	12.14082	4.59298	16.642	15.60162	1.04038
7	16.8181	12.14398	4.67412	16.8507	15.79042	1.06028
8	16.9771	12.3732	4.6039	16.9027	15.8746	1.0281
9	17.1131	12.4382	4.6749	17.0951	16.02468	1.07042
10	17.1749	12.31213	4.86277	17.0717	15.99363	1.07807
11	17.1946	12.44622	4.74838	17.1183	16.04142	1.07688
12	17.2168	12.45998	4.75682	17.1784	16.0991	1.0793
13	17.2774	12.56385	4.71355	17.1664	16.09703	1.06937
14	17.3359	12.54241	4.79349	17.253	16.17283	1.08017
15	17.4505	12.72317	4.72733	17.3091	16.23103	1.07807
16	17.4196	12.6749	4.7447	17.3236	16.24072	1.08288
17	17.4372	12.65934	4.77786	17.342	16.25776	1.08424
18	17.4892	12.68459	4.80461	17.3956	16.32836	1.06724
19	17.5018	12.61419	4.88761	17.3681	16.28201	1.08609
20	17.4216	12.64198	4.77962	17.4234	16.32567	1.09773
21	17.5555	12.67892	4.87658	17.437	16.34668	1.09032
22	17.5548	12.71705	4.83775	17.3581	16.27973	1.07837
23	17.5671	12.67113	4.89597	17.4358	16.34911	1.08669
24	17.5222	12.64523	4.87697	17.4165	16.33516	1.08134
25	17.5646	12.68512	4.87948	17.4577	16.34883	1.10887
26	17.5534	12.66372	4.88968	17.4365	16.36366	1.07284
27	17.596	12.78912	4.80688	17.4833	16.39225	1.09105
28	17.5717	12.66557	4.90613	17.5145	16.41882	1.09568
29	17.6137	12.75952	4.85418	17.4917	16.39567	1.09603
30	17.5937	12.73967	4.85403	17.5045	16.39721	1.10729
31	17.596	12.71595	4.88005	17.5073	16.40904	1.09826
32	17.6008	12.70608	4.89472	17.4629	16.35724	1.10566
33	17.6431	12.71574	4.92736	17.503	16.40527	1.09773
34	17.614	12.68796	4.92604	17.519	16.41694	1.10206
35	17.646	12.75678	4.88922	17.4937	16.41212	1.08158
36	17.6426	12.6448	4.9978	17.4659	16.41687	1.04903
37	17.6311	12.71834	4.91276	17.5513	16.50516	1.04614
38	17.6527	12.76509	4.88761	17.4992	16.44071	1.05849
39	17.6903	12.76166	4.92864	17.5325	16.43645	1.09605
40	17.6466	12.73918	4.90742	17.5576	16.45025	1.10735
41	17.6757	12.71614	4.95956	17.5443	16.44737	1.09693
42	17.6925	12.7853	4.9072	17.5552	16.45279	1.10241
43	17.6565	12.74721	4.90929	17.5518	16.44626	1.10554
44	17.6563	12.7357	4.9206	17.5568	16.45181	1.10499
45	17.6566	12.81804	4.83856	17.5599	16.46199	1.09791
46	17.7044	12.76071	4.94369	17.5497	16.4404	1.1093
47	17.6656	12.73959	4.92601	17.5684	16.45952	1.10888
48	17.691	12.7316	4.9594	17.5656	16.46497	1.10063
49	17.6879	12.79861	4.88929	17.5702	16.47314	1.09706
50	17.6783	12.74426	4.93404	17.575	16.47383	1.10117
51	17.6848	12.78598	4.89882	17.5516	16.45082	1.10078
52	17.6964	12.76214	4.93426	17.5786	16.46118	1.11742
53	17.6884	12.73549	4.95291	17.577	16.48113	1.09587
54	17.7382	12.77006	4.96814	17.5978	16.49886	1.09894
55	17.6973	12.68246	5.01484	17.5781	16.4768	1.1013
56	17.7152	12.76138	4.95382	17.562	16.46222	1.09978
57	17.6963	12.78426	4.91204	17.5856	16.49017	1.09543
