#Time	throughput	wan	lte	throughput	wan 	lte
time std_throughput std_wan std_lte 100_throughput 100_wan 100_lte
1	20.15928	15.81	4.34928	19.056096	18.57	0.486096
2	19.36806	14.78	4.58806	19.140768	18.45	0.690768
3	19.1134	14.73	4.3834	19.103712	18.43	0.673712
4	18.66938	14.9	3.76938	19.105184	18.44	0.665184
5	19.29984	14.78	4.51984	19.18224	18.5	0.68224
6	19.26131	14.75	4.51131	19.103712	18.43	0.673712
7	19.20603	14.78	4.42603	19.163712	18.49	0.673712
8	19.20131	14.69	4.51131	19.103712	18.43	0.673712
9	19.46543	14.92	4.54543	19.220768	18.53	0.690768
10	19.53396	14.98	4.55396	19.163712	18.49	0.673712
11	19.84512	15.24	4.60512	19.153712	18.48	0.673712
12	19.65192	15.26	4.39192	19.162544	18.54	0.622544
13	19.70516	15.39	4.31516	19.280768	18.59	0.690768
14	19.35288	15.43	3.92288	19.043152	18.54	0.503152
15	14.0028	9.952	4.0508	19.2096	18.57	0.6396
16	17.50582	13.6	3.90582	19.139904	18.56	0.579904
17	23.96496	20.17	3.79496	19.139904	18.56	0.579904
18	15.03567	11.94	3.09567	19.151376	18.58	0.571376
19	18.53384	15.08	3.45384	19.121376	18.55	0.571376
20	25.01787	19.27	5.74787	15.539904	14.96	0.579904
21	14.71877	10.83	3.88877	6.252848	5.69	0.562848
22	10.22386	5.09	5.13386	2.666096	2.18	0.486096
23	21.45365	16.84	4.61365	8.743088	8.564	0.179088
24	19.93248	15.37	4.56248	20.044976	19.9	0.144976
25	9.90248	5.34	4.56248	41.147312	40.9	0.247312
26	23.40543	18.86	4.54543	11.58792	11.46	0.12792
27	27.63015	23.17	4.46015	27.248992	26.49	0.758992
28	9.5534	5.17	4.3834	9.902192	8.93	0.972192
29	37.66425	33.17	4.49425	35.576144	35.38	0.196144
30	29.64543	25.1	4.54543	31.466656	30.81	0.656656
31	19.30071	14.67	4.63071	19.155184	18.49	0.665184
32	18.61512	14.01	4.60512	19.143712	18.47	0.673712
33	20.03776	15.39	4.64776	19.103712	18.43	0.673712
34	15.86599	11.15	4.71599	19.189296	18.49	0.699296
35	20.89837	16.37	4.52837	19.055184	18.39	0.665184
36	18.67924	14.04	4.63924	19.220464	18.47	0.750464
37	19.83969	14.45	5.38969	19.063712	18.39	0.673712
38	20.39051	14.6	5.79051	19.179296	18.48	0.699296
39	20.04177	14.78	5.26177	19.181936	18.44	0.741936
40	19.51684	14.69	4.82684	19.073712	18.4	0.673712
41	19.46599	14.75	4.71599	19.149296	18.45	0.699296
42	19.13015	14.67	4.46015	19.220464	18.47	0.750464
43	19.22218	14.6	4.62218	19.155184	18.49	0.665184
44	19.19543	14.65	4.54543	19.179296	18.48	0.699296
45	19.30481	14.64	4.66481	19.143712	18.47	0.673712
46	19.43746	14.73	4.70746	19.153712	18.48	0.673712
47	19.46334	14.79	4.67334	10.424184	9.759	0.665184
48	19.56628	14.91	4.65628	10.236656	9.58	0.656656
49	19.48953	14.91	4.57953	20.647568	20.17	0.477568
50	19.54425	15.05	4.49425	24.625232	24.25	0.375232
51	20.02897	15.62	4.40897	19.980816	19.58	0.400816
52	13.91075	9.57	4.34075	18.104928	17.67	0.434928
53	13.12431	8.92	4.20431	25.170816	24.77	0.400816
54	11.69313	7.54	4.15313	9.291984	8.84	0.451984
55	15.50999	11.86	3.64999	11.442192	10.47	0.972192
56	24.81872	20.64	4.17872	25.67752	24.91	0.76752
57	17.56634	13.2	4.36634	19.193712	18.52	0.673712
