#Time	Total	Server 1	Server 2
time throughput server1 server2
1	1189	957	232
2	1930	1500	430
3	1192	936	256
4	999	209	790
5	836	697	139
6	1354	959	395
7	786	287	499
8	570	175	395
9	1696	476	1220
10	991	163	828
11	1429	662	767
12	1072	229	843
13	1073	244	829
14	2320	1220	1100
15	897	211	686
16	628	628	0
17	1140	1140	0
18	2134	1600	534
19	1329	567	762
20	1590	1480	110
21	2000	450	1550
22	1047	647	400
23	1233	576	657
24	294	126	168
25	1900	1150	750
26	461	252	209
27	933	503	430
28	1115	581	534
29	565	379	186
30	941	325	616
31	1244	350	894
32	865	0	865
33	681	0	681
34	105	0	105
35	964	470	494
36	2560	1070	1490
37	847	696	151
38	1799	1160	639
39	1510	605	905
40	441	162	279
41	1368	288	1080
42	925	430	495
43	394	267	127
44	794	662	132
45	2017	597	1420
46	1658	865	793
47	1838	1290	548
48	918	545	373
49	1199	1050	149
50	2406	1760	646
51	2220	1100	1120
52	2820	1030	1790
53	1262	232	1030
54	781	227	554
55	2570	1240	1330
56	1116	648	468
57	1957	637	1320
58	1446	946	500
59	804	619	185
60	1549	369	1180
61	574	410	164
62	1206	534	672
63	2423	823	1600
64	1149	601	548
65	749	121	628
66	1518	1100	418
67	2428	1710	718
68	2109	829	1280
69	1135	272	863
70	1319	436	883
71	529	367	162
72	1122	738	384
73	1294	987	307
74	1122	314	808
75	2480	1240	1240
76	527	121	406
77	1615	891	724
78	1906	266	1640
79	1662	965	697
80	1816	556	1260
81	1474	746	728
82	1470	1070	400
83	1364	409	955
84	627	372	255
85	1269	290	979
86	1343	791	552
87	661	439	222
88	1084	721	363
89	836	292	544
90	1415	655	760
91	1540	961	579
92	1210	571	639
93	708	521	187
94	1910	0	1910
95	1510	0	1510
96	950	248	702
97	1484	314	1170
98	852	453	399
99	1374	697	677
100	900	503	397
