#Time	Throughput	Server 1	Server 2
time throughput server1 server2
1	0	0	0
2	0	0	0
3	278.784	185.856	92.928
4	303.758	144.038	159.72
5	361.298	118.483	242.814
6	400.105	229.416	170.689
7	322.198	69.696	252.502
8	611.978	349.73	262.248
9	571.836	277.773	294.062
10	495.198	145.297	349.901
11	639.579	312.53	327.049
12	716.145	550.185	165.959
13	572.469	410.389	162.08
14	701.939	174.903	527.036
15	735.133	565.475	169.658
16	743.727	431.692	312.036
17	489.129	411.575	77.5539
18	587.717	410.836	176.881
19	588.731	259.408	329.322
20	708.518	339.634	368.884
21	732.739	237.607	495.131
22	625.947	115.355	510.592
23	607.997	401.967	206.03
24	710.359	283.257	427.102
25	731.233	320.658	410.575
26	561.663	369.066	192.597
27	665.446	111.835	553.611
28	591.667	408.555	183.113
29	729.885	393.727	336.158
30	674.033	90.7859	583.247
31	666.015	446.529	219.486
32	664.789	159.501	505.288
33	548.325	449.464	98.8608
34	715.44	353.426	362.014
35	746.496	243.727	502.768
36	783.172	325.921	457.251
37	756.781	326.923	429.857
38	574.055	211.99	362.064
39	677.971	510.85	167.121
40	529.122	85.964	443.158
41	715.361	406.235	309.125
42	681.514	258.527	422.987
43	660.739	280.202	380.537
44	671.066	361.184	309.881
45	697.107	227.713	469.394
46	736.119	343.777	392.342
47	740.767	385.178	355.589
48	670.295	537.791	132.504
49	703.706	63.0531	640.653
50	709.949	313.296	396.653
51	688.712	226.008	462.704
52	643.153	254.081	389.072
53	737.647	268.45	469.197
54	736.313	492.361	243.952
55	626.041	218.85	407.191
56	723.301	639.395	83.9057
57	631.404	361.256	270.148
58	745.545	401.699	343.846
59	658.294	297.322	360.972
60	860.75	239.984	620.766
61	760.442	505.302	255.139
62	771.448	545.542	225.906
63	644.198	358.214	285.984
64	768.846	357.031	411.815
65	650.283	515.184	135.099
66	630.103	286.018	344.085
67	652.026	278.069	373.957
68	804.143	691.634	112.509
69	781.661	362.079	419.582
70	684.415	264.227	420.188
71	748.64	471.659	276.981
72	631.564	76.413	555.151
73	592.362	331.007	261.355
74	773.055	364.824	408.231
75	788.506	503.771	284.735
76	698.058	326.155	371.903
77	692.055	288.459	403.596
78	762.528	534.949	227.579
79	718.208	660.29	57.9182
80	729	198.492	530.508
81	666.385	264.367	402.018
82	711.112	331.076	380.036
83	722.162	234.89	487.271
84	652.435	155.674	496.761
85	654.92	218.173	436.746
86	638.211	437.753	200.458
87	654.908	407.607	247.301
88	594.247	351.252	242.996
89	650.338	485.611	164.728
90	695.412	400.195	295.217
91	686.137	519.781	166.356
92	718.177	475.189	242.988
93	690.305	310.717	379.588
94	791.71	225.182	566.527
95	673.265	241.308	431.958
96	624.09	372.334	251.757
97	697.304	334.43	362.874
98	700.602	415.304	285.298
99	626.56	406.389	220.171
100	652.069	240.388	411.681
